,Channel Title,Channel Username,ID,Message,Date,Media Path
0,CheMed,@CheMed123,1970-01-01 00:00:00.000000097,"⚠️Notice!
Dear esteemed customers,
Due to four-day motorbike movement restrictions, we have limited our services to matchmaking,drug information, and medical consultation only.

N.B. 
🔅We will make deliveries for those for whom the medications are urgent.
🔅You can book deliveries starting from Monday, February 13, 2023",2023-02-10 12:23:06+00:00,photos\@CheMed123_97.jpg
1,CheMed,@CheMed123,1970-01-01 00:00:00.000000096,"Mela-One በውስጡ ሆርሞን ያለው ድንገተኛ ወሊድ መቆጣጠርያ ሲሆን ያለመከላከያ የተደረገ የግብረስጋ ግንኙነት ሲኖር በ72 ሰዓታት ወስጥ መወሰድ ይኖርበታል።

📌ከChe-Med ለማዘዝ፡ 
በቴሌግራም ግሩፓችን- t.me/CheMeds
ዌብሳይት- www.chemeds.org
ይዘዙን።",2023-02-02 08:58:52+00:00,photos\@CheMed123_96.jpg
2,CheMed,@CheMed123,1970-01-01 00:00:00.000000095,"አዚትሮማይሲን በሃኪም መድሃኒት ማዘዣ ከሚታዘዙ አንቲባዮቲኮች አንዱ ሲሆን በርከት ያሉ ባክቴርያዎችን ይገላል።

በቀን አንዴ ለ3 ቀናት ምግብ ከመብላታችን 1 ሰዓት ቀደም ብሎ ወይንም ከበላን ከ 2 ሰዓት በኋላ መወሰድ ይኖርበታል።

📌የሃኪም ማዘዣ ካልዎት 
በቴሌግራም ግሩፓችን-t.me/CheMeds
ዌብሳይት- www.chemeds.org
ይላኩልን።",2023-02-01 08:59:37+00:00,photos\@CheMed123_95.jpg
3,CheMed,@CheMed123,1970-01-01 00:00:00.000000094,"Che-Med Trivia #3

ምግብና መጠጦች አንዳንድ መድሃኒቶች በደንብ እንዳይሰሩ ሊያደርጉ ይችላሉ። በዚህ ሁኔታ እነዚህን መድሃኒቶች ምግብ ከወሰድን ከ1 ሰዓት እስከ 2 ሰዓት ባለ ጊዜ ውስጥ መውሰድ ያስፈልግዎታል።

ከነዚህም ወስጥ የእንቅርት መድሃኒቶች፣Omeprazole፣Sildenafil(Viagra)፣Captopril እና Ampicillin ይጠቀሳሉ።

መድሃኒትዎ ከምግብ ጋር ያለውን አወሳሰድ እርግጠኛ ካልሆኑ ሃኪምዎን ወይም ፋርማሲስትዎን ያማክሩ።",2023-01-31 09:19:53+00:00,photos\@CheMed123_94.jpg
4,CheMed,@CheMed123,1970-01-01 00:00:00.000000093,"Che-Med Trivia #2

እንደ Ciprofloxacin, Doxycycline, Levothyroxine, Iron supplement ያሉ መድሃኒቶችን ከወተት እና ከወተት ተዋፅዖዎች ጋር እንዲሁም ከእንቁላል ጋር መውሰድ መድሃኒቶቹ በሰውነታችን የሚፈለገውን ስራ እንዳይሰሩ ያደርጋቸዋል።

ይህም በወተት ተዋጽኦዎች ውስጥ ያለው ካልሲየም እነዚህ መድሃኒቶች በሰውታችን ወስጥ እንዳይዋህዱ ጣልቃ ስለሚገባ ነው።",2023-01-30 09:45:25+00:00,photos\@CheMed123_93.jpg
5,CheMed,@CheMed123,1970-01-01 00:00:00.000000092,"You can get our services at:
Our pharmacist: https://t.me/CheMedAssistant9798
Our call center: 9798
Our website: www.chemeds.org",2023-01-27 07:18:40+00:00,photos\@CheMed123_92.jpg
6,CheMed,@CheMed123,1970-01-01 00:00:00.000000091,"Che-Med Trivia #1
The U.S. pharmaceutical industry is the largest in the world, making up about 40% of the worldwide drug development, manufacturing, and revenue generation. And half of the world’s top 10 pharmaceutical companies are in America, including the headquarters for Johnson & Johnson, Pfizer, Merck and Co., AbbVie, Eli Lilly and Co., and Abbott Laboratories. In fact, Johnson & Johnson’s revenue alone reached $82.6 billion in 2020.",2023-01-26 18:27:53+00:00,photos\@CheMed123_91.jpg
7,CheMed,@CheMed123,1970-01-01 00:00:00.000000090,"CVS Daytime & Nighttime Cold and Flu Relief

ለሰሞኑ ጉንፋን ማስታገሻ በአንደኝነት ተመራጭ የሆነውን CVS Daytime & Nighttime Cold and Flu Relief Che-Med ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist: https://t.me/CheMedAssistant9798
Our call center: 9798
Our website: www.chemeds.org

Che-Med is the best way to find your meds!",2023-01-23 10:39:20+00:00,photos\@CheMed123_90.jpg
8,CheMed,@CheMed123,1970-01-01 00:00:00.000000089,"🟠ለናንተ ለደምበኞቻችን ይሆናሉ ያልናቸዉን ምርጥ ቫይታሚንና ሰፕልመንቶች እነሆ!!

አጭር የTiktok ቪዲዮአችንን በመመልከት ግንዛቤዎን ይጨምሩ።
👇👇👇👇👇👇👇👇👇👇👇👇👇
https://vm.tiktok.com/ZMYJHUVde/

የTiktok ቻናላችንን Like እና Follow ያድርጉ።",2023-01-17 19:10:57+00:00,photos\@CheMed123_89.mp4
9,CheMed,@CheMed123,1970-01-01 00:00:00.000000088,"🌞Sundown Cinnamon!
Supports sugar metabolism.

Che-Med Sundown Cinnamon Supplement Product ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist: https://t.me/CheMedAssistant9798
Our call center: 9798

Che-Med is the best way to find your meds!",2023-01-17 08:43:12+00:00,photos\@CheMed123_88.jpg
